name,location,reviews,facilities,price,size,rules,stars,link
ethelio,"Agios Ioannis, Agios Ioannis, 84200, Greece",9.0Wonderful 22 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
$386
</span>",215 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/la-casa.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=39e041599a710033&srepoch=1685956660&all_sr_blocks=40916303_370417637_2_0_0&highlighted_blocks=40916303_370417637_2_0_0&matching_block_id=40916303_370417637_2_0_0&sr_pri_blocks=40916303_370417637_2_0_0__33320&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Galini Bungalows,"Ag. Fotodoti 92, Kionia, Kionia, 84200, Greece",8.4Very Good 170 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 548
</span>",25 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/galini-bangalows.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=39e041599a710033&srepoch=1685956660&all_sr_blocks=31355202_354837831_2_2_0&highlighted_blocks=31355202_354837831_2_2_0&matching_block_id=31355202_354837831_2_2_0&sr_pri_blocks=31355202_354837831_2_2_0__39200&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Castria,"Ag. Dimitrios, Kionia, 84200, Greece",9.7Exceptional 101 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Room service', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
RUB 41,506
</span>",20 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",4,https://www.booking.com/hotel/gr/castria.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=39e041599a710033&srepoch=1685956660&all_sr_blocks=171144902_173128886_2_0_0&highlighted_blocks=171144902_173128886_2_0_0&matching_block_id=171144902_173128886_2_0_0&sr_pri_blocks=171144902_173128886_2_0_0__47800&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Agali Bay Hotel,"Agali Bay, Tinos, 84200, Greece",8.7Excellent 121 reviews,"['Free WiFi', 'Non-smoking rooms', 'Room service', 'Free parking', 'Beachfront', 'Family rooms', 'Bar', 'Private beach area', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 380
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/agali-bay.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=39e041599a710033&srepoch=1685956660&all_sr_blocks=24975407_195112256_0_1_0&highlighted_blocks=24975407_195112256_0_1_0&matching_block_id=24975407_195112256_0_1_0&sr_pri_blocks=24975407_195112256_0_1_0__38000&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Onos - Eco Living Experience,"TINOS, Mési, 84200, Greece",9.7Exceptional 19 reviews,"['Free parking', 'Free WiFi', 'Non-smoking rooms', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 1,132
Current price
€ 793
</span>",47 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 9:00 AM.', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",4,https://www.booking.com/hotel/gr/the-stavlos-living-experience.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=39e041599a710033&srepoch=1685956660&all_sr_blocks=729039802_324896223_2_0_0&highlighted_blocks=729039802_324896223_2_0_0&matching_block_id=729039802_324896223_2_0_0&sr_pri_blocks=729039802_324896223_2_0_0__79254&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Anastasia Studios,"20, Ilia Gafou str., Tinos, 84200, Greece",8.2Very Good 226 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
CAD 519
</span>",50 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3,https://www.booking.com/hotel/gr/anastasia-tinos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=39e041599a710033&srepoch=1685956660&all_sr_blocks=41994603_205223952_0_0_0&highlighted_blocks=41994603_205223952_0_0_0&matching_block_id=41994603_205223952_0_0_0&sr_pri_blocks=41994603_205223952_0_0_0__36200&map_fdco=1&from=searchresults#hotelTmpl
Ioanna's,"Pyrgos Tinou, Panormos, 84201, Greece",9.8Exceptional 31 reviews,"['Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
¥77,892
Current price
¥73,997
</span>",75 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",3,https://www.booking.com/hotel/gr/ioannas.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=39e041599a710033&srepoch=1685956660&all_sr_blocks=191634701_309142997_2_0_0&highlighted_blocks=191634701_309142997_2_0_0&matching_block_id=191634701_309142997_2_0_0&sr_pri_blocks=191634701_309142997_2_0_0__52000&map_fdco=1&from=searchresults#hotelTmpl
La Vista TINOS,"Τήνος, Agios Ioannis, 84200, Greece",,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
RUB 34,879
</span>",25 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",,https://www.booking.com/hotel/gr/la-vista-tinos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=39e041599a710033&srepoch=1685956660&all_sr_blocks=1013732401_374044357_3_0_0&highlighted_blocks=1013732401_374044357_3_0_0&matching_block_id=1013732401_374044357_3_0_0&sr_pri_blocks=1013732401_374044357_3_0_0__40000&map_fdco=1&from=searchresults#hotelTmpl
Phos Villas Tinos,"VOURNI BEACH, Agios Romanos, 84200, Greece",9.7Exceptional 23 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Free WiFi', 'Beachfront', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
RUB 151,150
Current price
RUB 128,477
</span>",96 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",4,https://www.booking.com/hotel/gr/phos-villa.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=39e041599a710033&srepoch=1685956660&all_sr_blocks=522629101_240514284_0_0_0&highlighted_blocks=522629101_240514284_0_0_0&matching_block_id=522629101_240514284_0_0_0&sr_pri_blocks=522629101_240514284_0_0_0__147539&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Ursa Major Suites,"Κώμη Τήνος, Tinos, 84200, Greece",9.6Exceptional 58 reviews,"['Free parking', 'Non-smoking rooms', 'Room service', 'Restaurant', 'Facilities for disabled guests', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
BDT 94,812
Current price
BDT 87,227
</span>",32 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/ursa-major-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=39e041599a710033&srepoch=1685956660&all_sr_blocks=754460801_374305969_2_1_0&highlighted_blocks=754460801_374305969_2_1_0&matching_block_id=754460801_374305969_2_1_0&sr_pri_blocks=754460801_374305969_2_1_0__82400&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
